[DEBUG] 11:47:12:110 GAMECARD_DBG/(557:557): (FileSystem TallGrass| Tam.Bloque:64 Bytes| Cant.Bloques:4096| Tamaño FS:256 Kbytes| Magic_Number:555)

[DEBUG] 11:47:12:115 GAMECARD_DBG/(557:557): (TallGrass Iniciado  | Bloques Libres:4097| Espacio Disponible:256 Kb.)

[DEBUG] 11:47:13:118 GAMECARD_DBG/(557:561): (Intervalo para reconexión con Broker: 600 segundos)

[INFO] 19:05:48:561 GAMECARD_DBG/(8069:8566): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:48:577 GAMECARD_DBG/(8069:8569): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:48:583 GAMECARD_DBG/(8069:8575): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:48:597 GAMECARD_DBG/(8069:8580): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:48:604 GAMECARD_DBG/(8069:8584): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:48:623 GAMECARD_DBG/(8069:8590): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:48:623 GAMECARD_DBG/(8069:8590): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:48:631 GAMECARD_DBG/(8069:8594): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:48:641 GAMECARD_DBG/(8069:8599): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:48:657 GAMECARD_DBG/(8069:8605): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:48:666 GAMECARD_DBG/(8069:8611): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:48:674 GAMECARD_DBG/(8069:8616): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:48:688 GAMECARD_DBG/(8069:8620): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:49:846 GAMECARD_DBG/(8069:8667): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:49:855 GAMECARD_DBG/(8069:8672): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:49:861 GAMECARD_DBG/(8069:8677): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:49:879 GAMECARD_DBG/(8069:8682): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:49:879 GAMECARD_DBG/(8069:8682): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:49:889 GAMECARD_DBG/(8069:8687): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:49:897 GAMECARD_DBG/(8069:8692): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:49:911 GAMECARD_DBG/(8069:8697): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:49:920 GAMECARD_DBG/(8069:8700): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:49:928 GAMECARD_DBG/(8069:8707): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:49:946 GAMECARD_DBG/(8069:8711): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:49:954 GAMECARD_DBG/(8069:8716): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:49:984 GAMECARD_DBG/(8069:8722): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:50:38 GAMECARD_DBG/(8069:8725): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:50:39 GAMECARD_DBG/(8069:8728): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:50:39 GAMECARD_DBG/(8069:8728): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:50:55 GAMECARD_DBG/(8069:8731): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:50:56 GAMECARD_DBG/(8069:8734): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:50:58 GAMECARD_DBG/(8069:8737): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:50:59 GAMECARD_DBG/(8069:8740): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:50:60 GAMECARD_DBG/(8069:8744): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:50:64 GAMECARD_DBG/(8069:8748): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:51:19 GAMECARD_DBG/(8069:8808): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:51:27 GAMECARD_DBG/(8069:8813): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:51:36 GAMECARD_DBG/(8069:8818): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:51:52 GAMECARD_DBG/(8069:8822): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:51:52 GAMECARD_DBG/(8069:8822): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:51:63 GAMECARD_DBG/(8069:8828): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:51:70 GAMECARD_DBG/(8069:8833): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:51:95 GAMECARD_DBG/(8069:8838): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:51:119 GAMECARD_DBG/(8069:8843): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:51:124 GAMECARD_DBG/(8069:8847): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:51:132 GAMECARD_DBG/(8069:8852): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:51:149 GAMECARD_DBG/(8069:8857): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:51:158 GAMECARD_DBG/(8069:8863): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:51:176 GAMECARD_DBG/(8069:8868): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:51:186 GAMECARD_DBG/(8069:8873): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:51:186 GAMECARD_DBG/(8069:8873): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:51:194 GAMECARD_DBG/(8069:8877): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:51:211 GAMECARD_DBG/(8069:8883): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:51:224 GAMECARD_DBG/(8069:8888): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:51:236 GAMECARD_DBG/(8069:8893): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:51:246 GAMECARD_DBG/(8069:8898): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:51:254 GAMECARD_DBG/(8069:8903): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:52:155 GAMECARD_DBG/(8069:8949): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:52:162 GAMECARD_DBG/(8069:8954): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:52:180 GAMECARD_DBG/(8069:8959): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:52:187 GAMECARD_DBG/(8069:8964): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:52:187 GAMECARD_DBG/(8069:8964): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:52:198 GAMECARD_DBG/(8069:8969): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:52:206 GAMECARD_DBG/(8069:8974): SAVE BLOCK | FILE 9.bin
